location,spot_id,lat,lon
Manasquan,386,40.1033,-74.0312
Casino Pier,387,39.9424,-74.0677
Surf City,388,39.649,-74.1724
Holyoke,389,39.5306,-74.2624
States Avenue,390,39.3585,-74.4169
"Ocean City, NJ",391,39.2766,-74.5623
Wildwood,392,38.9713,-74.8229
Stockton,393,38.9288,-74.9175
Indian River,394,38.6104,-75.0606
"Ocean City, MD",395,38.3381,-75.0795
Virginia Beach,396,36.8458,-75.9707
Kill Devil Hills,397,36.0309,-75.6633
S Turns,398,35.608,-75.4642
Cape Hatteras,399,35.2514,-75.521
Bogue Pier,400,34.6589,-77.0351
Topsail Island,401,34.4303,-77.4997
Crystal Pier,402,34.1928,-77.8035
Pelican Watch,403,34.0172,-77.8966
Dunes Cove,404,33.7535,-78.7953
Garden City Pier,405,33.5754,-78.9964
The Washout,406,32.68,-79.88
Hunting Island,407,32.3742,-80.4346
Comfort Inn/Jekyll Island,408,31.068,-81.4024
La Bahia (Guayas),409,-2.186,-80.9866
Montañita,410,-1.8207,-80.7593
Murcielago (Manta),411,-0.9416,-80.7402
Máncora,412,-4.1047,-81.0591
Cabo Blanco,413,-4.25,-81.2324
Negritos,414,-4.6658,-81.3257
Puerto Eten,415,-6.9287,-79.8781
Chicama,416,-7.7049,-79.4528
Punta Huanchaco,417,-8.081,-79.1252
El Silencio,418,-12.3143,-76.8405
Pico Alto,419,-12.4118,-76.8319
Santa Rosa,420,-12.3823,-76.7899
Playa Cavancha (Iquique),421,-20.2281,-70.1493
El Tojo Viejo (Arica),422,-18.4798,-70.3342
Ritoque,423,-32.8328,-71.5252
Cartagena,424,-33.5502,-71.6094
La Boquilla,425,-33.7631,-71.7646
Matanzas,426,-33.96,-71.8791
Pichilemu,427,-34.3787,-72.0141
Punta de Lobos,428,-34.4245,-72.0504
Joaquina,429,-27.6331,-48.4494
Guarda do Embau,430,-27.9102,-48.5903
Garopaba,431,-28.03,-48.6
Rosa,432,-28.12,-48.63
Pitangueiras,433,-23.9973,-46.2518
Maresias,434,-23.7932,-45.5715
Gaibu,435,-8.3103,-34.9445
Maracaipe,436,-8.5264,-35.0035
Cacimba do Padre,437,-3.8484,-32.4371
Boldró,438,-3.8446,-32.4306
Punta Roca,439,13.4795,-89.3273
El Sunzal,440,13.4909,-89.3904
Los Cobanos,441,13.522,-89.8072
Ollies Point (Potrero Grande),442,10.8512,-85.7998
Witches Rock (Playa Naranjo),443,10.7957,-85.6816
Tamarindo,444,10.3031,-85.8419
Nosara,445,9.969,-85.6838
Pavones,446,8.3928,-83.1402
Pan Dulce,447,8.3879,-83.2761
Santa Catalina - La Punta,448,7.6235,-81.2577
Emily's (Morro Negrito),449,8.0447,-81.7141
Little Malibu (Rincon),450,18.3437,-67.2613
Crash Boat,451,18.4573,-67.1645
Dunes (Puerto Rico),452,18.5148,-67.0467
Le Moule,453,16.3347,-61.3531
Petit Havre,454,16.2081,-61.4267
Port Louis (Grande Terre),455,16.4309,-61.5396
Soup Bowl,456,13.2153,-59.5213
South Point - Barbados,457,13.044,-59.5279
Sandy Lane,458,13.172,-59.6389
Duppies,459,13.3,-59.65
Tilapa,460,14.4943,-92.1799
Sipacate,461,13.9205,-91.1461
Puerto San José,462,13.9159,-90.8187
Pochomil,463,11.7523,-86.4871
Manzanillo,464,11.38,-86.04
Playa Maderas,465,11.2907,-85.9099
Playa Carmen,466,9.6198,-85.15
Roca Loca,467,9.5895,-84.6265
Playa Bonita,468,10.0114,-83.0617
Salsa Brava,469,9.6612,-82.753
Silverbacks,470,9.3619,-82.2044
Punta Palmar (San Carlos),471,8.4704,-79.9464
Panamá La Vieja (Panama City),472,9.0022,-79.4833
Indicas,473,26.5169,-76.9679
Egg Island,474,25.4859,-76.89
Surfers Beach,475,25.3836,-76.5265
Puerto Plata,476,19.8036,-70.6885
La Bahia,477,19.7609,-70.5188
Encuentro,478,19.7824,-70.4454
La Preciosa,479,19.6804,-69.9986
Cane Garden Bay,480,18.4322,-64.6645
Josiah's Bay,481,18.4473,-64.5904
Loblolly Bay,482,18.7424,-64.3044
Wilderness,483,18.1253,-63.0265
Cupecoy,484,18.0493,-63.1353
The Ledge,485,17.9083,-62.8257
Anse Couleuvre,486,14.8446,-61.2201
Grand Riviere,487,14.87,-61.13
Plage des Surfeurs,488,14.7713,-60.8997
Playa Parguito,489,11.1322,-63.8469
Playa Copey,490,10.6708,-63.2542
Estero del Plátano,491,0.8204,-80.0551
Mompiche,492,0.5082,-80.0293
Canoa,493,-0.4643,-80.4587
La Islilla (Piura),494,-5.2078,-81.1945
Nonura,495,-5.8403,-81.1107
La Herradura (Lima),496,-12.1807,-77.0389
Hornitos,497,-22.9156,-70.2916
Peñarol,498,-23.4649,-70.6044
La Puntilla (Antofagasta),499,-23.7057,-70.4297
La Popular,500,-37.9949,-57.54
Miramar,501,-38.28,-57.83
Pepino,502,-23.0012,-43.2639
Ponta Negra,503,-22.9578,-42.6988
Geriba ,504,-22.78,-41.9094
Tiririca,505,-14.2861,-38.9835
Norte,506,-14.7476,-39.0572
Baduska,507,-14.8047,-39.0245
Boca do Poço,508,-3.4063,-39.0324
Tabinha,509,-3.54,-38.84
Icarai,510,-3.6753,-38.6612
Fortaleza,511,-3.7,-38.49
Jakes,512,-27.7338,114.147
Bowes River,513,-28.4136,114.453
Drummonds,514,-28.6874,114.604
Geraldton,515,-28.78,114.57
Three Bears,516,-33.5711,115.007
Injidup,517,-33.6973,114.977
Margaret River,518,-33.9779,114.982
Witzig's (Point Sinclair),519,-32.0979,132.98
Johanna,520,-38.7655,143.376
Apollo Bay,521,-38.7541,143.674
Lorne,522,-38.5442,143.984
Anglesea,523,-38.43,144.18
Bells Beach,524,-38.3672,144.2872
Torquay,525,-38.3347,144.329
Sydney (Manly),526,-33.7948,151.288
Miami,527,-28.0741,153.449
Kirra,528,-28.1645,153.535
Trigg Point,529,-31.8764,115.75
Strickland Bay,530,-32.0191,115.486
Chinamans,531,-35.2895,136.916
Seaford,532,-35.1929,138.466
Middleton Point,533,-35.5165,138.708
Cape Kersaint,534,-36.0313,137.115
Gunnamatta,535,-38.4462,144.854
Phillip Island,536,-38.51,145.29
Shipstern Bluff,537,-43.2106,147.754
Cloudy Bay,538,-43.4473,147.236
Clifton Beach,539,-42.9915,147.537
Cabarita,540,-28.3345,153.577
Byron Bay,541,-28.6341,153.6356
Lennox Head,542,-28.8059,153.604
Double Island Point,543,-25.9274,153.181
Tea Tree (Noosa),544,-26.377,153.105
Coolum Beach,545,-26.528,153.094
The Bluff,546,-26.6709,153.111
Happys (Caloundra),547,-26.8047,153.146
